trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-147.14927287746184,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,8,-39.83259114480587,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-175.5867824690363,"{0: 20, 1: 3, 2: 3, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,4,-34.16053604298008,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,13,-66.15946715891799,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,9,-31.447359839833545,"{0: 6, 1: 2, 2: 3, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,13,-14.142823951149307,"{0: 4, 1: 2, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-120.65856997206487,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",35,13,-134.03857320625517,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 3}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,12,-6.958221059033372,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,7,-18.67113662755411,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-91.57926442918016,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,23.766552322295738,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,15,2.5129030268331016,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,6,-14.807337379742226,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,2,-17.658155160999463,"{0: 24, 1: 0, 2: 3, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,8,20.512499592668323,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,10.699928113710694,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,1,-7.813647782549147,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0}",25,17,-7.72489990418022,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,0,-93.03758975518085,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 3}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,28.851926159396168,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,13,12.461399472804445,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,8,26.41252719796093,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",35,21,-31.400114179233686,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,12,23.52065594153965,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",30,0,-0.1556822765136865,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,27.426439442767887,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,4,-16.748878060985668,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,1,29.389237595443984,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0.0, 'e': 0.0}",20,4,-41.976110582757606,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 1}",1
12,True,"{'a': 0.0, 'e': 0.0}",25,20,11.451365525888114,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0.0, 'e': 0.0}",25,17,13.127757364513878,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0.0, 'e': 0.0}",30,9,19.145709733357336,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,True,"{'a': 0.0, 'e': 0.0}",20,4,25.849232509819522,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0.0, 'e': 0.0}",25,4,-29.324545530109404,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 1}",1
17,True,"{'a': 0.0, 'e': 0.0}",25,11,26.511572443285417,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0.0, 'e': 0.0}",25,4,28.86302004820051,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0.0, 'e': 0.0}",20,9,-20.14067056622976,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
20,True,"{'a': 0.0, 'e': 0.0}",20,9,18.928993150496566,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'a': 0.0, 'e': 0.0}",20,2,-55.793145569024546,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 2}",1
22,True,"{'a': 0.0, 'e': 0.0}",25,20,7.719740189913055,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,True,"{'a': 0.0, 'e': 0.0}",20,11,15.52345209878421,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,True,"{'a': 0.0, 'e': 0.0}",20,14,8.506059132483422,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0.0, 'e': 0.0}",30,17,-19.70727982064873,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
26,True,"{'a': 0.0, 'e': 0.0}",20,13,-27.26118712935498,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
27,True,"{'a': 0.0, 'e': 0.0}",20,16,7.584031715390363,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,True,"{'a': 0.0, 'e': 0.0}",25,0,-12.355796716788717,"{0: 22, 1: 1, 2: 0, 3: 2, 4: 0}",0
29,True,"{'a': 0.0, 'e': 0.0}",20,14,9.358122841979254,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,True,"{'a': 0.0, 'e': 0.0}",25,11,23.128322081253454,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,True,"{'a': 0.0, 'e': 0.0}",20,7,15.444104240317662,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,True,"{'a': 0.0, 'e': 0.0}",30,13,30.51213438138826,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,True,"{'a': 0.0, 'e': 0.0}",20,10,19.455021975202982,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,True,"{'a': 0.0, 'e': 0.0}",20,16,9.49862886128644,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,True,"{'a': 0.0, 'e': 0.0}",25,19,6.46965315200671,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
36,True,"{'a': 0.0, 'e': 0.0}",20,14,12.75149199977597,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,True,"{'a': 0.0, 'e': 0.0}",25,2,-34.200355628350444,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 1}",1
38,True,"{'a': 0.0, 'e': 0.0}",20,15,6.394557033904288,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,True,"{'a': 0.0, 'e': 0.0}",20,13,15.303514007949657,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,True,"{'a': 0.0, 'e': 0.0}",20,10,19.549602866634057,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,True,"{'a': 0.0, 'e': 0.0}",25,17,-37.953902710393734,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
42,True,"{'a': 0.0, 'e': 0.0}",30,11,-16.660280968656558,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
43,True,"{'a': 0.0, 'e': 0.0}",25,11,23.31336125887708,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,True,"{'a': 0.0, 'e': 0.0}",30,7,10.273446590178331,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 0}",1
45,True,"{'a': 0.0, 'e': 0.0}",25,12,-19.849899352147226,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
46,True,"{'a': 0.0, 'e': 0.0}",20,7,20.718465781663085,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,True,"{'a': 0.0, 'e': 0.0}",20,11,10.266417544858557,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,True,"{'a': 0.0, 'e': 0.0}",25,11,13.58492878684635,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
49,True,"{'a': 0.0, 'e': 0.0}",20,14,12.340243513912663,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,True,"{'a': 0.0, 'e': 0.0}",25,20,8.821905061561342,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,True,"{'a': 0.0, 'e': 0.0}",20,5,23.98184820700132,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
