trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9995}",20,0,-94.97117532127031,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9990000000000001}",25,0,-181.88050636702582,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.9985000000000002}",20,0,-91.86581639640741,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9980000000000002}",20,0,-63.42396302086883,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9975000000000003}",20,0,-93.36341891124297,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9970000000000003}",20,0,-213.5190810877197,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 5}",0
7,False,"{'a': 0.5, 'e': 0.9965000000000004}",25,0,-73.07143686107956,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9960000000000004}",25,0,-95.205450072179,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9955000000000005}",20,0,-84.57458858138402,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9950000000000006}",20,0,-56.36186725100392,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9945000000000006}",20,0,-102.00021303521895,"{0: 12, 1: 5, 2: 1, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9940000000000007}",25,0,-120.28022967834677,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9935000000000007}",25,0,-133.65030629986794,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9930000000000008}",30,0,-242.6542265201636,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 5}",0
15,False,"{'a': 0.5, 'e': 0.9925000000000008}",20,0,-70.45051380784297,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9920000000000009}",20,0,-41.892562252693196,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9915000000000009}",20,0,-90.51935291798443,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.991000000000001}",25,0,-121.0863296556263,"{0: 12, 1: 5, 2: 7, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.990500000000001}",20,0,-247.95462551787097,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 6}",0
20,False,"{'a': 0.5, 'e': 0.9900000000000011}",25,0,-196.4701227139394,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 3}",0
21,False,"{'a': 0.5, 'e': 0.9895000000000012}",20,0,-39.490138734340775,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.9890000000000012}",30,0,-93.89953412337819,"{0: 18, 1: 7, 2: 4, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.9885000000000013}",30,0,-145.10322131675693,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.9880000000000013}",25,0,-50.688705565648405,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.9875000000000014}",25,0,-113.28966896549791,"{0: 12, 1: 7, 2: 5, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.9870000000000014}",25,0,-136.57503185670097,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.9865000000000015}",25,0,-79.29144250553487,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.9860000000000015}",20,0,-80.92863572088532,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.9855000000000016}",25,0,-108.30049874794427,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.9850000000000017}",20,0,-64.53581316416876,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.9845000000000017}",20,6,-76.81403500077833,"{0: 7, 1: 3, 2: 3, 3: 0, 4: 1}",1
32,False,"{'a': 0.5, 'e': 0.9840000000000018}",20,0,-116.53350207236164,"{0: 11, 1: 6, 2: 0, 3: 1, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.9835000000000018}",30,10,-0.2618449958332878,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.9830000000000019}",25,0,-63.79697890812039,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.9825000000000019}",25,0,-165.21760583933354,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
36,False,"{'a': 0.5, 'e': 0.982000000000002}",25,15,-19.641648965663574,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.981500000000002}",25,0,-134.45754768120275,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.9810000000000021}",30,16,-62.00241892751229,"{0: 8, 1: 4, 2: 1, 3: 0, 4: 1}",1
39,False,"{'a': 0.5, 'e': 0.9805000000000021}",20,0,-177.31473388551424,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
40,False,"{'a': 0.5, 'e': 0.9800000000000022}",25,0,-167.43489209234727,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
41,False,"{'a': 0.5, 'e': 0.9795000000000023}",25,0,-53.79205989975517,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.9790000000000023}",20,0,-67.55035525617399,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.9785000000000024}",20,0,-121.51587836440413,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
44,False,"{'a': 0.5, 'e': 0.9780000000000024}",25,0,-203.79174784171238,"{0: 12, 1: 6, 2: 3, 3: 0, 4: 4}",0
45,False,"{'a': 0.5, 'e': 0.9775000000000025}",20,12,-53.44876336964972,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
46,False,"{'a': 0.5, 'e': 0.9770000000000025}",20,0,-195.05472235750707,"{0: 8, 1: 4, 2: 4, 3: 1, 4: 3}",0
47,False,"{'a': 0.5, 'e': 0.9765000000000026}",25,0,-133.425437883734,"{0: 15, 1: 5, 2: 2, 3: 1, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.9760000000000026}",20,0,-120.72372364883033,"{0: 10, 1: 5, 2: 1, 3: 3, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.9755000000000027}",30,0,-270.0226273691932,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 5}",0
50,False,"{'a': 0.5, 'e': 0.9750000000000028}",35,0,-154.48673373314944,"{0: 21, 1: 5, 2: 7, 3: 0, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.9745000000000028}",20,0,-118.49624472465376,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.9740000000000029}",25,0,-146.4329587429714,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.9735000000000029}",25,0,-127.7286579906241,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.973000000000003}",30,0,-53.23488036172227,"{0: 22, 1: 1, 2: 7, 3: 0, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.972500000000003}",20,0,-71.15071591370918,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.9720000000000031}",25,0,-24.259277809664457,"{0: 20, 1: 3, 2: 1, 3: 1, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.9715000000000031}",20,0,-162.3246719350785,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
58,False,"{'a': 0.5, 'e': 0.9710000000000032}",20,0,-85.94169242869445,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.9705000000000032}",25,0,-50.19872132139827,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.9700000000000033}",30,0,-171.96921441883683,"{0: 14, 1: 2, 2: 12, 3: 1, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.9695000000000034}",20,0,-79.44536177770023,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.9690000000000034}",30,0,-186.7361520061719,"{0: 16, 1: 3, 2: 7, 3: 2, 4: 2}",0
63,False,"{'a': 0.5, 'e': 0.9685000000000035}",20,0,-42.86147347265463,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.9680000000000035}",30,0,-177.81984906838014,"{0: 16, 1: 6, 2: 5, 3: 0, 4: 3}",0
65,False,"{'a': 0.5, 'e': 0.9675000000000036}",30,0,-62.05743060539376,"{0: 21, 1: 2, 2: 6, 3: 1, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.9670000000000036}",25,0,-102.2385472518804,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.9665000000000037}",25,0,-207.30623099351206,"{0: 11, 1: 5, 2: 5, 3: 1, 4: 3}",0
68,False,"{'a': 0.5, 'e': 0.9660000000000037}",20,0,-157.77512688209015,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
69,False,"{'a': 0.5, 'e': 0.9655000000000038}",20,0,-146.87887651398714,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
70,False,"{'a': 0.5, 'e': 0.9650000000000039}",20,0,-95.50061523121327,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.9645000000000039}",20,0,-35.87250173512662,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.964000000000004}",20,14,7.623631358432902,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.963500000000004}",20,13,-12.35636743532258,"{0: 4, 1: 2, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.9630000000000041}",30,0,-217.36183560928941,"{0: 13, 1: 3, 2: 10, 3: 2, 4: 2}",0
75,False,"{'a': 0.5, 'e': 0.9625000000000041}",20,0,-117.57982211197084,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
