trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-65.68077780304883,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-111.96980284407044,"{0: 8, 1: 5, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-31.216668350126973,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,9,-25.169793017075925,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-61.53258276108861,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.88098207152805,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-161.32737546662437,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-100.98652990850073,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-151.89996186513022,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-176.5468068570242,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.84094506528814,"{0: 9, 1: 4, 2: 7, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-99.61073565322147,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-112.11694569205567,"{0: 15, 1: 1, 2: 6, 3: 3, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-130.90028877159378,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-44.35091633336009,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-64.5932371323668,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.57886852624064,"{0: 11, 1: 6, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-59.74603138890492,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.1942293800025,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.72058189679208,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-119.52619296095148,"{0: 10, 1: 6, 2: 2, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-115.81340645123021,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-106.1551848538651,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",1
4,True,"{'a': 0.5, 'e': 1.0}",30,7,-59.05130936608397,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 1}",1
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-98.22613525294081,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,9,-26.90797615531054,"{0: 6, 1: 3, 2: 2, 3: 0, 4: 0}",1
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-64.36436239164503,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-190.87443005958488,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-170.8527021561907,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-79.99453077122133,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
